,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
27,8976,86242,The Cedars Club,"""Cedars Club, Mill Lane, Chadwell Heath""",RM6 6TT,548119,188160.0,51.572857,0.135954,Barking and Dagenham,51.572857,0.135954,173,3.1982699088610334,38.074641772155154,38.074641772155154
28,8977,86244,The Cherry Tree Ph,"""Wood Lane, Dagenham""",RM8 3LJ,548088,185910.0,51.552649,0.13456,Barking and Dagenham,51.552649,0.13455999999999999,21,1.4697542339202714,17.497074213336564,17.497074213336564
29,8978,86248,The Club,"""The Club, 121 Broad Street, Dagenham""",RM10 9HP,549269,184158.0,51.536587,0.150838,Barking and Dagenham,51.536587,0.150838,67,0.6306066143190827,7.507221599036699,7.507221599036699
30,8979,86253,The Cross Keys,"""Crown Street, Dagenham""",RM10 9XA,549848,184484.0,51.539372,0.159319,Barking and Dagenham,51.539372,0.15931900000000002,66,0.695193462252577,8.276112645864012,8.276112645864012
31,8980,86258,The Jolly Fisherman PH,"""The Jolly Fisherman Ph, 108 North Street, Barking""",IG11 8LA,543950,184520.0,51.541229,0.07435,Barking and Dagenham,51.541229,0.07435,15,0.4944482420681805,5.886288596049767,5.886288596049767
32,8981,86260,The Lighterman,"""109 Bastable Avenue, Barking""",IG11 0NX,545988,183172.0,51.528594,0.103158,Barking and Dagenham,51.528594,0.10315799999999999,268,1.108536530685669,13.196863460543677,13.196863460543677
33,8982,86268,The Royal Oak,"""Royal Oak, 203 Longbridge Road, Barking""",IG11 8UF,545147,185139.0,51.546476,0.091853,Barking and Dagenham,51.546476,0.091853,15,1.0717314066477082,12.758707221996525,12.758707221996525
34,8983,86269,The Ship & Shovel,"""Ripple Road, Barking""",IG11 0SN,546897,183604.0,51.53224,0.116432,Barking and Dagenham,51.53224,0.116432,21,1.1568676588327182,13.772234033722835,13.772234033722835
35,8984,86271,The Spot,"""380 Ripple Road, Barking""",IG11 9RS,545338,183910.0,51.535393,0.094095,Barking and Dagenham,51.535393,0.094095,268,0.6122634375760008,7.288850447333342,7.288850447333342
36,8985,86273,The Three Travellers,"""The Three Travellers Ph, Wood Lane, Dagenham""",RM10 7DS,549117,186860.0,51.560905,0.149792,Barking and Dagenham,51.560905,0.149792,66,2.142794806466981,25.509461981749773,25.509461981749773
37,8986,86276,The Victoria,"""The Victoria Ph, Axe Street, Barking""",IG11 7LZ,544313,183903.0,51.535592,0.079328,Barking and Dagenham,51.535592,0.079328,15,0.4605725619890737,5.483006690346115,5.483006690346115
38,8987,86282,Tollgate Tavern Public House,"""High Road, Chadwell Heath""",RM6 6QT,548491,188131.0,51.572499,0.141305,Barking and Dagenham,51.572499,0.141305,67,3.4475490508674937,41.0422506055654,41.0422506055654
39,8988,86386,Ahir Lorenzo's Bar Restaurant,"""298 Nether Street, London""",N3 1RJ,525064,190865.0,51.602747,-0.195571,Barnet,51.602746999999994,-0.195571,93,0.23757368824240702,2.828258193361988,2.828258193361988
